filename,width,height,class,xmin,ymin,xmax,ymax
2024-10-08T09_35_18-739305_1920x1080_0_00_00-000400_jpg.rf.8bfb6711a6b4814df45708073c0732e4.jpg,1080,1080,pellet,312,614,327,626
2024-10-08T09_35_18-739305_1920x1080_0_00_00-000400_jpg.rf.8bfb6711a6b4814df45708073c0732e4.jpg,1080,1080,pellet,570,336,577,346
2024-10-08T09_35_18-739305_1920x1080_0_00_00-000400_jpg.rf.8bfb6711a6b4814df45708073c0732e4.jpg,1080,1080,pellet,389,615,395,624
2024-10-08T09_35_18-739305_1920x1080_0_00_00-000400_jpg.rf.8bfb6711a6b4814df45708073c0732e4.jpg,1080,1080,pellet,595,579,608,586
2024-10-08T09_35_18-739305_1920x1080_0_00_00-000400_jpg.rf.8bfb6711a6b4814df45708073c0732e4.jpg,1080,1080,semipellet,560,820,569,830
2024-10-08T09_35_18-739305_1920x1080_0_00_00-000400_jpg.rf.8bfb6711a6b4814df45708073c0732e4.jpg,1080,1080,semipellet,652,853,661,864
2024-10-08T09_35_18-739305_1920x1080_0_00_00-000400_jpg.rf.8bfb6711a6b4814df45708073c0732e4.jpg,1080,1080,pellet,286,633,297,643
2024-10-08T09_35_18-739305_1920x1080_0_00_00-000400_jpg.rf.8bfb6711a6b4814df45708073c0732e4.jpg,1080,1080,semipellet,275,655,285,663
2024-10-08T09_35_18-739305_1920x1080_0_00_00-000400_jpg.rf.8bfb6711a6b4814df45708073c0732e4.jpg,1080,1080,semipellet,290,656,301,666
2024-10-08T09_35_18-739305_1920x1080_0_00_00-000400_jpg.rf.8bfb6711a6b4814df45708073c0732e4.jpg,1080,1080,semipellet,237,656,247,664
2024-10-08T09_35_18-739305_1920x1080_0_00_00-000400_jpg.rf.8bfb6711a6b4814df45708073c0732e4.jpg,1080,1080,semipellet,261,635,270,645
2024-10-08T09_35_18-739305_1920x1080_0_00_00-000400_jpg.rf.8bfb6711a6b4814df45708073c0732e4.jpg,1080,1080,semipellet,528,391,536,399
2024-10-08T09_35_18-739305_1920x1080_0_00_00-000400_jpg.rf.8bfb6711a6b4814df45708073c0732e4.jpg,1080,1080,semipellet,664,473,674,480
2024-10-08T09_35_18-739305_1920x1080_0_00_00-000400_jpg.rf.8bfb6711a6b4814df45708073c0732e4.jpg,1080,1080,semipellet,745,215,753,227
2024-10-08T09_35_18-739305_1920x1080_0_00_00-000400_jpg.rf.8bfb6711a6b4814df45708073c0732e4.jpg,1080,1080,pellet,819,507,827,518
2024-10-08T09_35_18-739305_1920x1080_0_00_00-000400_jpg.rf.8bfb6711a6b4814df45708073c0732e4.jpg,1080,1080,pellet,699,473,708,481
2024-10-08T09_35_18-739305_1920x1080_0_00_00-000400_jpg.rf.8bfb6711a6b4814df45708073c0732e4.jpg,1080,1080,pellet,240,593,251,601
2024-10-08T09_35_18-739305_1920x1080_0_00_00-000400_jpg.rf.8bfb6711a6b4814df45708073c0732e4.jpg,1080,1080,pellet,330,641,341,650
2024-10-08T09_35_18-739305_1920x1080_0_00_00-000400_jpg.rf.8bfb6711a6b4814df45708073c0732e4.jpg,1080,1080,pellet,233,694,238,704
2024-10-08T09_35_18-739305_1920x1080_0_00_00-000400_jpg.rf.8bfb6711a6b4814df45708073c0732e4.jpg,1080,1080,pellet,236,681,243,689
2024-10-08T09_35_18-739305_1920x1080_0_00_00-000400_jpg.rf.8bfb6711a6b4814df45708073c0732e4.jpg,1080,1080,pellet,202,320,209,338
2024-10-08T09_35_18-739305_1920x1080_0_00_00-000400_jpg.rf.8bfb6711a6b4814df45708073c0732e4.jpg,1080,1080,pellet,300,245,307,257
2024-10-08T09_35_18-739305_1920x1080_0_00_00-000400_jpg.rf.8bfb6711a6b4814df45708073c0732e4.jpg,1080,1080,pellet,336,221,346,233
2024-10-08T09_35_18-739305_1920x1080_0_00_00-000400_jpg.rf.8bfb6711a6b4814df45708073c0732e4.jpg,1080,1080,pellet,451,229,458,240
2024-10-08T09_35_18-739305_1920x1080_0_00_00-000400_jpg.rf.8bfb6711a6b4814df45708073c0732e4.jpg,1080,1080,pellet,374,527,385,537
2024-10-11T17_01_04-758776_1920x1080_0_00_00-000375_jpg.rf.77899a2f3f4232bf441b11d72bf56736.jpg,1080,1080,semipellet,510,764,521,774
2024-10-11T17_01_04-758776_1920x1080_0_00_00-000375_jpg.rf.77899a2f3f4232bf441b11d72bf56736.jpg,1080,1080,semipellet,539,751,548,761
2024-10-11T17_01_04-758776_1920x1080_0_00_00-000375_jpg.rf.77899a2f3f4232bf441b11d72bf56736.jpg,1080,1080,semipellet,558,723,568,732
2024-10-11T17_01_04-758776_1920x1080_0_00_00-000375_jpg.rf.77899a2f3f4232bf441b11d72bf56736.jpg,1080,1080,semipellet,573,717,582,728
2024-10-11T17_01_04-758776_1920x1080_0_00_00-000375_jpg.rf.77899a2f3f4232bf441b11d72bf56736.jpg,1080,1080,semipellet,604,727,615,735
2024-10-11T17_01_04-758776_1920x1080_0_00_00-000375_jpg.rf.77899a2f3f4232bf441b11d72bf56736.jpg,1080,1080,semipellet,608,733,618,742
2024-10-11T17_01_04-758776_1920x1080_0_00_00-000375_jpg.rf.77899a2f3f4232bf441b11d72bf56736.jpg,1080,1080,semipellet,621,727,629,735
2024-10-11T17_01_04-758776_1920x1080_0_00_00-000375_jpg.rf.77899a2f3f4232bf441b11d72bf56736.jpg,1080,1080,semipellet,635,758,642,767
2024-10-11T17_01_04-758776_1920x1080_0_00_00-000375_jpg.rf.77899a2f3f4232bf441b11d72bf56736.jpg,1080,1080,semipellet,643,769,651,778
